Chanel Beauty,Tom Ford Beauty,La Prairie,Dior Beauty,La Mer,Shiseido,Augustinus Bader,Caudalie,SkinCeuticals,YSL Beauty,Sisley Paris,Lancome,Charlotte Tilburry,Kiehls,Laura Mercier,Year,Period,Value,luxury index
8.0,2.0,15.0,17.0,58.0,60.1667696108709,10.617665225447807,36.57195799876467,60.1667696108709,7.180451127819549,0.0,150.78947368421055,0.0,26.509368494101317,56.995142262317835,2024,Q01,4.4,33.93317320096023
7.0,3.0,15.0,15.0,55.0,57.80728844966028,10.617665225447807,33.03273625694873,58.98702903026559,7.180451127819549,0.0,143.60902255639098,0.0,27.834836918806385,50.367800138792504,2024,Q01,4.4,32.29578864694212
9.0,2.0,18.0,14.0,59.0,58.98702903026559,9.437924644842495,38.93143915997529,58.98702903026559,7.180451127819549,0.0,165.15037593984962,0.0,33.13671061762665,56.995142262317835,2024,Q01,4.4,35.38707345419751
9.0,1.0,18.0,14.0,56.0,57.80728844966028,10.617665225447807,33.03273625694873,56.627547869054965,7.180451127819549,0.0,172.3308270676692,0.0,31.811242192921583,46.3913948646773,2024,Q01,4.4,34.25327687027996
8.0,3.0,17.0,14.0,60.0,73.14391599752933,9.437924644842495,34.21247683755404,61.34651019147621,7.180451127819549,0.0,157.9699248120301,0.0,29.16030534351145,47.716863289382374,2024,Q01,4.4,34.81122481627637
7.0,1.0,14.0,14.0,61.0,60.1667696108709,7.078443483631871,37.75169857936998,58.98702903026559,7.180451127819549,0.0,150.78947368421055,0.0,25.183900069396252,51.69326856349757,2024,Q01,4.4,33.05540227660415
7.0,1.0,16.0,16.0,54.0,61.34651019147621,9.437924644842495,48.36936380481779,56.627547869054965,7.180451127819549,0.0,143.60902255639098,0.0,26.509368494101317,49.04233171408744,2024,Q02,4.2,33.07483469350605
8.0,2.0,18.0,15.0,58.0,60.1667696108709,9.437924644842495,42.47066090179123,60.1667696108709,7.180451127819549,0.0,157.9699248120301,0.0,25.183900069396252,50.367800138792504,2024,Q02,4.2,34.26294672776093
9.0,3.0,41.0,17.0,58.0,63.70599135268684,18.87584928968499,41.290920321185915,55.44780728844966,7.180451127819549,0.0,179.51127819548873,0.0,23.858431644691187,55.66967383761277,2024,Q02,4.2,38.23602687050798
9.0,1.0,17.0,15.0,62.0,61.34651019147621,12.977146386658431,35.392217418159355,56.627547869054965,7.180451127819549,0.0,179.51127819548873,0.0,25.183900069396252,45.06592643997224,2024,Q02,4.2,35.15233184653505
7.0,2.0,21.0,16.0,60.0,64.88573193329215,14.156886967263741,37.75169857936998,54.26806670784435,7.180451127819549,0.0,193.87218045112783,0.0,23.858431644691187,43.74045801526717,2024,Q02,4.2,36.380927028445065
7.0,2.0,16.0,14.0,58.0,61.34651019147621,11.797405806053119,34.21247683755404,54.26806670784435,7.180451127819549,0.0,172.3308270676692,0.0,25.183900069396252,50.367800138792504,2024,Q02,4.2,34.24582919644035
8.0,1.0,17.0,17.0,59.0,68.42495367510809,10.617665225447807,42.47066090179123,58.98702903026559,7.180451127819549,0.0,165.15037593984962,0.0,27.834836918806385,49.04233171408744,2024,Q02,4.2,35.44722030221171
8.0,2.0,16.0,16.0,59.0,86.12106238418777,10.617665225447807,38.93143915997529,54.26806670784435,7.180451127819549,0.0,143.60902255639098,0.0,22.53296321998612,43.74045801526717,2024,Q02,4.2,33.86674189312794
